age,sex,value
<5,M,10175713
<5,F,9736305
5-9,M,10470147
5-9,F,10031835
10-14,M,10561873
10-14,F,10117913
15-19,M,10942624
15-19,F,10411857
20-24,M,11576412
20-24,F,11027820
25-29,M,10989596
25-29,F,10708414
30-34,M,10625791
30-34,F,10557848
35-39,M,9899569
35-39,F,9956213
40-44,M,10330986
40-44,F,10465142
45-49,M,10571984
45-49,F,10798384
50-54,M,11051409
50-54,F,11474081
55-59,M,10173646
55-59,F,10828301
60-64,M,8824852
60-64,F,9590829
65-69,M,6876271
65-69,F,7671175
70-74,M,4867513
70-74,F,5720208
75-79,M,3416432
75-79,F,4313697
80-84,M,2378691
80-84,F,3432738
≥85,M,2000771
≥85,F,3937981